,Year,Countries,Movies Produced
0,1916,['United States'],[1]
1,1925,['United States'],[1]
2,1927,['Germany'],[1]
3,1929,"['Germany', 'United States']","[1, 1]"
4,1930,['United States'],[1]
5,1932,['United States'],[1]
6,1933,['United States'],[2]
7,1934,['United States'],[1]
8,1935,['United States'],[1]
9,1936,['United States'],[2]
10,1937,['United States'],[2]
11,1938,['United States'],[2]
12,1939,['United States'],[3]
13,1940,"['United States', 'United Kingdom']","[7, 1]"
14,1941,['United States'],[1]
15,1942,['United States'],[3]
16,1944,['United States'],[2]
17,1945,['United States'],[4]
18,1946,['United States'],[3]
19,1947,['United States'],[3]
20,1948,['United States'],[3]
21,1949,['United States'],[2]
22,1950,['United States'],[1]
23,1951,['United States'],[3]
24,1952,['United States'],[4]
25,1953,['United States'],[3]
26,1954,"['Japan', 'United States']","[1, 2]"
27,1955,"['Denmark', 'United States']","[1, 1]"
28,1956,['United States'],[3]
29,1957,"['United Kingdom', 'United States']","[1, 2]"
30,1958,['United States'],[2]
31,1959,['United States'],[3]
32,1960,"['India', 'United States']","[1, 3]"
33,1961,"['Germany', 'United States']","[1, 5]"
34,1962,"['United Kingdom', 'Jamaica', 'United States']","[4, 1, 6]"
35,1963,"['United Kingdom', 'Switzerland', 'United States']","[3, 1, 6]"
36,1964,"['Italy', 'Germany', 'Spain', 'United Kingdom', 'United States', 'France']","[1, 1, 1, 3, 9, 2]"
37,1965,"['United States', 'Italy', 'United Kingdom', 'Liechtenstein', 'France', 'Bahamas']","[8, 3, 3, 1, 2, 1]"
38,1966,"['United Kingdom', 'United States']","[2, 3]"
39,1967,"['France', 'United States', 'Germany', 'United Kingdom']","[1, 3, 1, 1]"
40,1968,"['United Kingdom', 'Italy', 'United States', 'Spain', 'Germany']","[2, 1, 10, 1, 1]"
41,1969,"['Italy', 'France', 'United Kingdom', 'United States']","[2, 1, 1, 7]"
42,1970,"['Italy', 'Germany', 'France', 'Japan', 'Russia', 'United States']","[2, 1, 1, 1, 1, 10]"
43,1971,"['United Kingdom', 'United States', 'Sweden', 'East Germany', 'West Germany']","[1, 12, 1, 1, 1]"
44,1972,"['Sweden', 'United Kingdom', 'Russia', 'United States']","[1, 1, 1, 6]"
45,1973,"['United Kingdom', 'United States']","[1, 9]"
46,1974,"['United Arab Emirates', 'United States', 'United Kingdom']","[1, 9, 1]"
47,1975,"['United Kingdom', 'United States']","[3, 5]"
48,1976,"['United States', 'United Kingdom', 'Nigeria']","[11, 2, 1]"
49,1977,"['United States', 'United Kingdom']","[15, 5]"
50,1978,"['United Kingdom', 'United States']","[4, 15]"
51,1979,"['United Kingdom', 'United States', 'Australia', 'France']","[4, 18, 1, 1]"
52,1980,"['Philippines', 'Canada', 'United States', 'United Kingdom']","[1, 1, 23, 4]"
53,1981,"['United Kingdom', 'Germany', 'Czech Republic', 'Canada', 'South Korea', 'Libyan Arab Jamahiriya', 'Australia', 'France', 'Netherlands', 'United States', 'Italy']","[4, 2, 1, 3, 1, 1, 1, 1, 1, 28, 1]"
54,1982,"['Hong Kong', 'United Kingdom', 'Canada', 'India', 'United States', 'Australia']","[2, 2, 1, 1, 22, 1]"
55,1983,"['Canada', 'Brazil', 'Spain', 'United Kingdom', 'Italy', 'Germany', 'United States']","[3, 1, 1, 6, 1, 1, 20]"
56,1984,"['United Kingdom', 'United States', 'Italy', 'Canada', 'Germany']","[4, 35, 2, 1, 1]"
57,1985,"['United Kingdom', 'France', 'Iceland', 'Japan', 'Canada', 'Australia', 'Netherlands', 'United States']","[6, 2, 1, 1, 1, 1, 1, 22]"
